"","ID","Gene.symbol"
"372","212964_at","HIC2"
"373","212977_at","ACKR3"
"374","212992_at","AHNAK2"
"375","213068_at","DPT"
"376","213071_at","DPT"
"377","213103_at","STARD13"
"378","213107_at","TNIK"
"379","213129_s_at","LOC101060817///GCSH"
"380","213133_s_at","LOC101060817///GCSH"
"381","213135_at","TIAM1"
"382","213186_at","DZIP3"
"383","213234_at","FAM234B"
"384","213237_at","KNOP1"
"385","213238_at","ATP10D"
"386","213241_at","PLXNC1"
"387","213258_at","TFPI"
"388","213263_s_at","PCBP2"
"389","213264_at","PCBP2"
"390","213288_at","MBOAT2"
"391","213307_at","SHANK2"
"392","213308_at","SHANK2"
"393","213407_at","PHLPP2"
"394","213411_at","ADAM22"
"395","213422_s_at","MXRA8"
"396","213423_x_at","TUSC3"
"397","213493_at","SNED1"
"398","213558_at","PCLO"
"399","213618_at","ARAP2"
"400","213629_x_at","MT1F"
"401","213679_at","TTC30A"
"402","213689_x_at","FAM69A"
"403","213693_s_at","MUC1"
"404","213727_x_at","MPPE1"
"405","213737_x_at","GOLGA8N"
"406","213839_at","CLMN"
"407","213857_s_at","CD47"
"408","213900_at","FAM189A2"
"409","213924_at","GNAL"
"410","213970_at","RABL3"
"411","214030_at","CRYBG3"
"412","214044_at","RYR2"
"413","214053_at","ERBB4"
"414","214068_at","BEAN1"
"415","214157_at","GNAS"
"416","214162_at","ASXL3"
"417","214175_x_at","PDLIM4"
"418","214307_at","HGD"
"419","214308_s_at","HGD"
"420","214354_x_at","SFTPB"
"421","214414_x_at","HBA2///HBA1"
"422","214433_s_at","SELENBP1"
"423","214632_at","NRP2"
"424","214702_at","FN1"
"425","214733_s_at","YIPF1"
"426","214735_at","IPCEF1"
"427","214745_at","PLCH1"
"428","214803_at","CDH6"
"429","214930_at","SLITRK5"
"430","214954_at","SUSD5"
"431","214955_at","TMPRSS6"
"432","215001_s_at","GLUL"
"433","215047_at","TRIM58"
"434","215380_s_at","GGCT"
"435","215506_s_at","DIRAS3"
"436","215691_x_at","HSPB11"
"437","215903_s_at","MAST2"
"438","216033_s_at","FYN"
"439","216044_x_at","FAM69A"
"440","216295_s_at","CLTA"
"441","216347_s_at","PPP1R13B"
"442","216442_x_at","FN1"
"443","216733_s_at","GATM"
"444","216944_s_at","ITPR1"
"445","217127_at","CTH"
"446","217165_x_at","MT1F"
"447","217226_s_at","SFXN3"
"448","217232_x_at","HBB"
"449","217414_x_at","HBA2///HBA1"
"450","217645_at","SYNJ2BP-COX16///COX16"
"451","217833_at","SYNCRIP"
"452","217853_at","TNS3"
"453","217858_s_at","ARMCX3"
"454","217880_at","CDC27"
"455","217957_at","CFAP20"
"456","217963_s_at","BEX3"
"457","217975_at","TCEAL9"
"458","217983_s_at","RNASET2"
"459","217984_at","RNASET2"
"460","218005_at","ZNF22"
"461","218024_at","MPC1"
"462","218208_at","PQLC1"
"463","218309_at","CAMK2N1"
"464","218313_s_at","GALNT7"
"465","218530_at","FHOD1"
"466","218549_s_at","RMDN1"
"467","218559_s_at","MAFB"
"468","218613_at","PSD3"
"469","218627_at","DRAM1"
"470","218691_s_at","PDLIM4"
"471","218692_at","SYBU"
"472","218718_at","PDGFC"
"473","218723_s_at","RGCC"
"474","218826_at","SLC35F2"
"475","218844_at","ACSF2"
"476","218847_at","IGF2BP2"
"477","218856_at","TNFRSF21"
"478","218858_at","DEPTOR"
"479","218888_s_at","NETO2"
"480","218960_at","TMPRSS4"
"481","219011_at","PLEKHA4"
"482","219049_at","CSGALNACT1"
"483","219054_at","NPR3"
"484","219059_s_at","LYVE1"
"485","219074_at","TMEM184C"
"486","219077_s_at","WWOX"
"487","219090_at","SLC24A3"
"488","219093_at","PID1"
"489","219157_at","KLHL2"
"490","219179_at","DACT1"
"491","219181_at","LIPG"
"492","219195_at","PPARGC1A"
"493","219277_s_at","OGDHL"
"494","219310_at","SYNDIG1"
"495","219317_at","POLI"
"496","219368_at","NAP1L2"
"497","219427_at","FAT4"
"498","219446_at","RIC8B"
"499","219451_at","MSRB2"
"500","219489_s_at","NXN"
"501","219527_at","Mar-02"
"502","219549_s_at","RTN3"
"503","219610_at","ARHGEF28"
"504","219619_at","DIRAS2"
"505","219630_at","PDZK1IP1"
"506","219643_at","LRP1B"
"507","219654_at","HACD1"
"508","219700_at","PLXDC1"
"509","219735_s_at","TFCP2L1"
"510","219743_at","HEY2"
"511","219749_at","SH2D4A"
"512","219773_at","NOX4"
"513","219778_at","ZFPM2"
"514","219873_at","COLEC11"
"515","219877_at","ZMAT4"
"516","219932_at","SLC27A6"
"517","219945_at","DDX25"
"518","219949_at","LRRC2"
"519","219961_s_at","KIZ"
"520","220108_at","GNA14"
"521","220133_at","ODAM"
"522","220173_at","BBOF1"
"523","220203_at","BMP8A"
"524","220204_s_at","BMP8A"
"525","220467_at",""
"526","220486_x_at","LOC101928589///TMEM164"
"527","220547_s_at","FAM35A"
"528","220584_at","PRR36"
"529","220603_s_at","MCTP2"
"530","220723_s_at","CWH43"
"531","220724_at","CWH43"
"532","220751_s_at","FAXDC2"
"533","220979_s_at","ST6GALNAC5"
"534","220987_s_at","NUAK2///AKIP1"
"535","221016_s_at","TCF7L1"
"536","221030_s_at","ARHGAP24"
"537","221042_s_at","CLMN"
"538","221073_s_at","NOD1"
"539","221221_s_at","KLHL3"
"540","221266_s_at","DCSTAMP"
"541","221577_x_at","GDF15"
"542","221589_s_at","ALDH6A1"
"543","221636_s_at","Mar-02"
"544","221646_s_at","ZDHHC11B///ZDHHC11"
"545","221701_s_at","STRA6"
"546","221747_at","TNS1"
"547","221748_s_at","TNS1"
"548","221750_at","HMGCS1"
"549","221810_at","RAB15"
"550","221823_at","C5orf30"
"551","221840_at","PTPRE"
"552","221868_at","PAIP2B"
"553","221874_at","KIAA1324"
"554","221900_at","COL8A2"
"555","221928_at","ACACB"
"556","222033_s_at","FLT1"
"557","222056_s_at","FAHD2A"
"558","222171_s_at","PKNOX2"
"559","222173_s_at","TBC1D2"
"560","222294_s_at","RAB27A"
"561","243_g_at","MAP4"
"562","34206_at","ARAP1"
"563","37004_at","SFTPB"
"564","37408_at","MRC2"
"565","43427_at","ACACB"
"566","48031_r_at","FAXDC2"
"567","49452_at","ACACB"
"568","55872_at","ZNF512B"
"569","59697_at","RAB15"
"570","60474_at","FERMT1"
